CMDLINE /usr/bin/python3 videoToText.py
MEM 0.500000 1715768278.9778
MEM 40.160156 1715768279.0781
MEM 170.660156 1715768279.1785
MEM 204.035156 1715768279.2788
MEM 223.535156 1715768279.3792
MEM 271.410156 1715768279.4794
MEM 293.062500 1715768279.5798
MEM 303.187500 1715768279.6801
MEM 311.812500 1715768279.7804
MEM 316.937500 1715768279.8807
MEM 321.562500 1715768279.9811
MEM 328.437500 1715768280.0815
MEM 335.242188 1715768280.1818
MEM 339.117188 1715768280.2821
MEM 348.242188 1715768280.3824
MEM 361.117188 1715768280.4827
MEM 380.117188 1715768280.5830
MEM 394.867188 1715768280.6833
MEM 405.617188 1715768280.7836
MEM 409.992188 1715768280.8840
MEM 420.867188 1715768280.9844
MEM 432.742188 1715768281.0847
MEM 440.617188 1715768281.1850
MEM 443.117188 1715768281.2853
MEM 451.117188 1715768281.3856
MEM 457.742188 1715768281.4860
MEM 484.492188 1715768281.5863
MEM 489.742188 1715768281.6867
MEM 494.242188 1715768281.7870
MEM 508.367188 1715768281.8872
MEM 520.867188 1715768281.9876
MEM 531.992188 1715768282.0879
MEM 538.867188 1715768282.1882
MEM 555.367188 1715768282.2886
MEM 563.117188 1715768282.3889
MEM 569.742188 1715768282.4891
MEM 571.742188 1715768282.5895
MEM 578.992188 1715768282.6898
MEM 584.242188 1715768282.7900
MEM 629.617188 1715768282.8903
MEM 655.367188 1715768282.9907
MEM 664.867188 1715768283.0911
MEM 741.242188 1715768283.1913
MEM 713.257812 1715768283.2918
MEM 713.257812 1715768283.3922
MEM 713.257812 1715768283.4926
MEM 713.382812 1715768283.5930
MEM 713.382812 1715768283.6935
MEM 683.574219 1715768283.7939
MEM 692.945312 1715768283.8942
