CMDLINE /usr/bin/python3 videoToText.py
MEM 0.500000 1715768314.0227
MEM 38.296875 1715768314.1231
MEM 156.171875 1715768314.2234
MEM 202.671875 1715768314.3237
MEM 220.421875 1715768314.4241
MEM 269.921875 1715768314.5244
MEM 293.148438 1715768314.6247
MEM 302.648438 1715768314.7250
MEM 311.398438 1715768314.8254
MEM 316.648438 1715768314.9257
MEM 321.148438 1715768315.0260
MEM 327.398438 1715768315.1264
MEM 334.082031 1715768315.2267
MEM 338.832031 1715768315.3270
MEM 342.707031 1715768315.4273
MEM 355.457031 1715768315.5277
MEM 368.707031 1715768315.6280
MEM 387.457031 1715768315.7283
MEM 400.457031 1715768315.8286
MEM 406.582031 1715768315.9289
MEM 409.957031 1715768316.0293
MEM 424.582031 1715768316.1297
MEM 433.335938 1715768316.2300
MEM 441.335938 1715768316.3303
MEM 443.335938 1715768316.4307
MEM 451.210938 1715768316.5310
MEM 463.960938 1715768316.6314
MEM 484.585938 1715768316.7317
MEM 489.710938 1715768316.8320
MEM 494.335938 1715768316.9323
MEM 504.335938 1715768317.0327
MEM 521.085938 1715768317.1331
MEM 527.710938 1715768317.2334
MEM 537.460938 1715768317.3337
MEM 552.835938 1715768317.4341
MEM 562.210938 1715768317.5344
MEM 564.085938 1715768317.6347
MEM 570.460938 1715768317.7350
MEM 577.835938 1715768317.8354
MEM 579.585938 1715768317.9357
MEM 608.585938 1715768318.0360
MEM 655.335938 1715768318.1363
MEM 655.460938 1715768318.2367
MEM 727.585938 1715768318.3371
MEM 713.363281 1715768318.4374
MEM 713.363281 1715768318.5378
MEM 713.363281 1715768318.6383
MEM 713.363281 1715768318.7388
MEM 713.363281 1715768318.8392
MEM 683.550781 1715768318.9396
MEM 692.796875 1715768319.0400
MEM 0.000000 1715768319.1405
