CMDLINE /usr/bin/python3 videoToText.py
MEM 852.636719 1715768806.7151
MEM 852.636719 1715768806.8154
MEM 886.761719 1715768806.9157
MEM 886.761719 1715768807.0160
MEM 886.761719 1715768807.1163
MEM 886.761719 1715768807.2166
MEM 886.761719 1715768807.3169
MEM 886.761719 1715768807.4172
MEM 849.507812 1715768807.5175
MEM 849.507812 1715768807.6178
MEM 886.882812 1715768807.7307
MEM 886.882812 1715768807.8412
MEM 886.882812 1715768807.9415
MEM 849.507812 1715768808.0418
MEM 849.507812 1715768808.1421
MEM 849.507812 1715768808.2424
MEM 849.507812 1715768808.3427
MEM 849.507812 1715768808.4430
MEM 849.507812 1715768808.5433
MEM 849.507812 1715768808.6436
MEM 849.507812 1715768808.7439
MEM 849.507812 1715768808.8470
MEM 849.507812 1715768808.9473
MEM 849.507812 1715768809.0476
MEM 849.507812 1715768809.1479
MEM 849.507812 1715768809.2482
MEM 849.507812 1715768809.3485
MEM 868.257812 1715768809.4488
MEM 905.757812 1715768809.5492
MEM 924.257812 1715768809.6496
MEM 924.257812 1715768809.7499
MEM 868.230469 1715768809.8507
MEM 868.230469 1715768809.9510
MEM 868.230469 1715768810.0513
MEM 868.230469 1715768810.1516
MEM 868.230469 1715768810.2519
MEM 868.230469 1715768810.3522
MEM 868.230469 1715768810.4525
MEM 868.230469 1715768810.5528
MEM 868.230469 1715768810.6539
MEM 868.230469 1715768810.7543
MEM 868.230469 1715768810.8548
MEM 868.230469 1715768810.9551
MEM 887.480469 1715768811.0640
MEM 925.105469 1715768811.1643
MEM 925.105469 1715768811.2646
MEM 925.105469 1715768811.3667
MEM 925.105469 1715768811.4670
MEM 850.238281 1715768811.5673
MEM 850.238281 1715768811.6676
MEM 850.238281 1715768811.7679
MEM 850.238281 1715768811.8683
MEM 850.238281 1715768811.9686
MEM 850.238281 1715768812.0689
MEM 850.238281 1715768812.1692
MEM 850.238281 1715768812.2695
MEM 850.238281 1715768812.3698
MEM 850.238281 1715768812.4700
MEM 850.238281 1715768812.5704
MEM 887.613281 1715768812.6719
MEM 925.113281 1715768812.7722
MEM 925.113281 1715768812.8726
MEM 925.113281 1715768812.9748
MEM 859.640625 1715768813.0770
MEM 859.640625 1715768813.1781
MEM 859.640625 1715768813.2784
MEM 859.640625 1715768813.3787
MEM 901.640625 1715768813.4790
MEM 925.015625 1715768813.5794
MEM 925.015625 1715768813.6797
MEM 850.238281 1715768813.7800
MEM 850.238281 1715768813.8802
MEM 850.238281 1715768813.9805
MEM 850.238281 1715768814.0808
MEM 850.238281 1715768814.1812
MEM 868.863281 1715768814.2815
MEM 906.363281 1715768814.3818
MEM 906.363281 1715768814.4821
MEM 906.363281 1715768814.5824
MEM 859.671875 1715768814.6837
MEM 859.671875 1715768814.7839
MEM 859.671875 1715768814.8843
MEM 859.671875 1715768814.9847
MEM 860.296875 1715768815.0851
MEM 860.546875 1715768815.1854
MEM 860.546875 1715768815.2862
MEM 860.796875 1715768815.3865
MEM 907.546875 1715768815.4871
MEM 851.468750 1715768815.5875
MEM 851.468750 1715768815.6878
MEM 851.468750 1715768815.7881
MEM 851.468750 1715768815.8885
MEM 907.468750 1715768816.0027
MEM 907.468750 1715768816.1029
MEM 907.468750 1715768816.2032
MEM 851.417969 1715768816.3047
MEM 851.417969 1715768816.4051
MEM 851.417969 1715768816.5055
MEM 851.417969 1715768816.6058
MEM 851.417969 1715768816.7062
MEM 851.417969 1715768816.8072
MEM 907.542969 1715768816.9147
MEM 907.542969 1715768817.0150
MEM 907.542969 1715768817.1187
MEM 907.542969 1715768817.2190
MEM 907.542969 1715768817.3193
MEM 907.542969 1715768817.4196
MEM 856.160156 1715768817.5199
MEM 856.160156 1715768817.6202
MEM 856.160156 1715768817.7206
MEM 907.535156 1715768817.8209
MEM 907.535156 1715768817.9212
MEM 907.535156 1715768818.0214
MEM 863.968750 1715768818.1218
MEM 863.968750 1715768818.2221
MEM 863.968750 1715768818.3224
MEM 863.968750 1715768818.4228
MEM 885.218750 1715768818.5347
MEM 907.343750 1715768818.6350
MEM 907.343750 1715768818.7482
MEM 851.281250 1715768818.8485
MEM 851.281250 1715768818.9488
MEM 851.281250 1715768819.0491
MEM 851.281250 1715768819.1494
MEM 851.281250 1715768819.2498
MEM 888.656250 1715768819.3505
MEM 888.656250 1715768819.4508
MEM 888.656250 1715768819.5511
MEM 851.378906 1715768819.6514
MEM 851.378906 1715768819.7517
MEM 851.378906 1715768819.8521
MEM 851.378906 1715768819.9524
MEM 851.378906 1715768820.0527
MEM 888.726562 1715768820.1530
MEM 888.726562 1715768820.2533
MEM 888.726562 1715768820.3536
MEM 888.726562 1715768820.4539
MEM 888.726562 1715768820.5542
MEM 888.726562 1715768820.6545
MEM 851.468750 1715768820.7549
MEM 851.468750 1715768820.8552
MEM 907.468750 1715768820.9555
MEM 907.468750 1715768821.0558
MEM 907.468750 1715768821.1560
MEM 870.156250 1715768821.2564
MEM 870.156250 1715768821.3568
MEM 870.156250 1715768821.4571
MEM 870.156250 1715768821.5574
MEM 888.656250 1715768821.6577
MEM 907.531250 1715768821.7581
MEM 851.449219 1715768821.8584
MEM 851.449219 1715768821.9617
MEM 851.449219 1715768822.0620
MEM 851.449219 1715768822.1641
MEM 851.449219 1715768822.2644
MEM 851.449219 1715768822.3648
MEM 869.949219 1715768822.4747
MEM 907.449219 1715768822.5753
MEM 907.449219 1715768822.6756
MEM 851.445312 1715768822.7759
MEM 851.445312 1715768822.8762
MEM 851.445312 1715768822.9765
MEM 851.445312 1715768823.0768
MEM 851.445312 1715768823.1771
MEM 851.445312 1715768823.2775
MEM 851.820312 1715768823.3778
MEM 851.820312 1715768823.4781
MEM 908.070312 1715768823.5787
MEM 852.007812 1715768823.6790
MEM 852.007812 1715768823.7794
MEM 852.007812 1715768823.8798
MEM 852.007812 1715768823.9801
MEM 907.882812 1715768824.0806
MEM 907.882812 1715768824.1809
MEM 851.839844 1715768824.2813
MEM 851.839844 1715768824.3816
MEM 851.839844 1715768824.4819
MEM 851.839844 1715768824.5823
MEM 907.839844 1715768824.6826
MEM 907.839844 1715768824.7829
MEM 907.839844 1715768824.8832
MEM 907.839844 1715768824.9836
MEM 907.839844 1715768825.0839
MEM 851.804688 1715768825.1842
MEM 851.804688 1715768825.2845
MEM 851.804688 1715768825.3848
MEM 870.429688 1715768825.4851
MEM 870.402344 1715768825.5856
