CMDLINE /usr/bin/python3 videoToText.py
MEM 0.500000 1715774125.0299
MEM 38.535156 1715774125.1303
MEM 138.660156 1715774125.2307
MEM 200.660156 1715774125.3310
MEM 219.160156 1715774125.4314
MEM 265.035156 1715774125.5317
MEM 288.511719 1715774125.6321
MEM 299.761719 1715774125.7339
MEM 309.136719 1715774125.8342
MEM 314.886719 1715774125.9346
MEM 320.011719 1715774126.0348
MEM 327.136719 1715774126.1351
MEM 333.828125 1715774126.2354
MEM 338.828125 1715774126.3357
MEM 343.203125 1715774126.4360
MEM 355.578125 1715774126.5363
MEM 369.953125 1715774126.6367
MEM 389.953125 1715774126.7369
MEM 400.703125 1715774126.8373
MEM 407.703125 1715774126.9376
MEM 413.578125 1715774127.0378
MEM 428.453125 1715774127.1381
MEM 438.828125 1715774127.2384
MEM 442.703125 1715774127.3387
MEM 448.578125 1715774127.4390
MEM 451.203125 1715774127.5394
MEM 482.703125 1715774127.6397
MEM 487.828125 1715774127.7399
MEM 491.828125 1715774127.8402
MEM 500.578125 1715774127.9405
MEM 520.078125 1715774128.0408
MEM 523.578125 1715774128.1411
MEM 535.953125 1715774128.2414
MEM 548.078125 1715774128.3417
MEM 561.203125 1715774128.4420
MEM 564.078125 1715774128.5423
MEM 570.203125 1715774128.6426
MEM 572.328125 1715774128.7428
MEM 579.453125 1715774128.8432
MEM 583.203125 1715774128.9435
MEM 595.953125 1715774129.0438
MEM 600.578125 1715774129.1440
MEM 626.328125 1715774129.2444
MEM 647.203125 1715774129.3447
MEM 654.828125 1715774129.4450
MEM 655.828125 1715774129.5453
MEM 741.453125 1715774129.6456
MEM 741.453125 1715774129.7459
MEM 741.453125 1715774129.8462
MEM 741.453125 1715774129.9465
MEM 741.453125 1715774130.0467
MEM 741.453125 1715774130.1503
MEM 741.453125 1715774130.2505
MEM 741.453125 1715774130.3508
MEM 741.453125 1715774130.4511
MEM 741.453125 1715774130.5514
MEM 714.464844 1715774130.6517
MEM 757.226562 1715774130.7520
MEM 798.886719 1715774130.8523
MEM 842.511719 1715774130.9526
MEM 861.511719 1715774131.0529
MEM 861.511719 1715774131.1532
MEM 861.511719 1715774131.2535
MEM 861.511719 1715774131.3537
MEM 861.511719 1715774131.4540
MEM 861.636719 1715774131.5543
MEM 861.636719 1715774131.6546
MEM 861.636719 1715774131.7549
MEM 861.636719 1715774131.8552
MEM 861.636719 1715774131.9555
MEM 861.636719 1715774132.0557
MEM 861.636719 1715774132.1560
MEM 861.636719 1715774132.2563
MEM 861.636719 1715774132.3566
MEM 861.636719 1715774132.4569
MEM 861.636719 1715774132.5572
MEM 861.636719 1715774132.6574
MEM 861.636719 1715774132.7577
MEM 861.761719 1715774132.8580
MEM 861.761719 1715774132.9583
MEM 861.761719 1715774133.0586
MEM 861.761719 1715774133.1589
MEM 861.761719 1715774133.2591
MEM 861.761719 1715774133.3594
MEM 861.886719 1715774133.4597
MEM 861.886719 1715774133.5600
MEM 861.886719 1715774133.6603
MEM 861.886719 1715774133.7606
MEM 861.886719 1715774133.8609
MEM 861.886719 1715774133.9612
MEM 861.886719 1715774134.0615
MEM 861.886719 1715774134.1618
MEM 861.886719 1715774134.2621
MEM 861.886719 1715774134.3624
MEM 861.886719 1715774134.4626
MEM 861.886719 1715774134.5629
MEM 861.886719 1715774134.6632
MEM 861.886719 1715774134.7635
MEM 861.886719 1715774134.8638
MEM 861.886719 1715774134.9641
MEM 861.886719 1715774135.0644
MEM 861.886719 1715774135.1647
MEM 861.886719 1715774135.2685
MEM 861.886719 1715774135.3688
MEM 861.886719 1715774135.4690
MEM 861.886719 1715774135.5693
MEM 861.886719 1715774135.6696
MEM 861.886719 1715774135.7699
MEM 861.886719 1715774135.8702
MEM 862.011719 1715774135.9705
MEM 862.011719 1715774136.0707
MEM 862.011719 1715774136.1710
MEM 862.011719 1715774136.2713
MEM 862.011719 1715774136.3716
MEM 862.011719 1715774136.4719
MEM 862.011719 1715774136.5721
MEM 862.011719 1715774136.6724
MEM 862.011719 1715774136.7726
MEM 862.011719 1715774136.8729
