CMDLINE /usr/bin/python3 videoToText.py
MEM 0.500000 1715768863.4654
MEM 39.660156 1715768863.5658
MEM 161.160156 1715768863.6661
MEM 203.285156 1715768863.7664
MEM 221.160156 1715768863.8667
MEM 270.410156 1715768863.9670
MEM 292.804688 1715768864.0673
MEM 302.554688 1715768864.1676
MEM 311.429688 1715768864.2679
MEM 317.054688 1715768864.3683
MEM 321.679688 1715768864.4686
MEM 328.429688 1715768864.5689
MEM 335.355469 1715768864.6692
MEM 339.230469 1715768864.7695
MEM 347.355469 1715768864.8698
MEM 355.730469 1715768864.9701
MEM 378.230469 1715768865.0704
MEM 393.355469 1715768865.1707
MEM 404.355469 1715768865.2711
MEM 410.105469 1715768865.3714
MEM 417.730469 1715768865.4717
MEM 430.476562 1715768865.5721
MEM 439.851562 1715768865.6724
MEM 443.101562 1715768865.7727
MEM 449.851562 1715768865.8730
MEM 451.726562 1715768865.9733
MEM 482.976562 1715768866.0736
MEM 489.101562 1715768866.1740
MEM 493.976562 1715768866.2743
MEM 502.476562 1715768866.3746
MEM 521.101562 1715768866.4750
MEM 527.726562 1715768866.5753
MEM 537.601562 1715768866.6756
MEM 552.851562 1715768866.7759
MEM 562.476562 1715768866.8764
MEM 564.226562 1715768866.9767
MEM 570.601562 1715768867.0770
MEM 577.601562 1715768867.1773
MEM 579.601562 1715768867.2776
MEM 608.726562 1715768867.3779
MEM 655.226562 1715768867.4782
MEM 655.601562 1715768867.5786
MEM 728.976562 1715768867.6789
MEM 732.496094 1715768867.7793
MEM 835.886719 1715768867.8796
MEM 805.804688 1715768867.9799
MEM 806.429688 1715768868.0803
MEM 820.554688 1715768868.1805
MEM 821.304688 1715768868.2808
MEM 921.304688 1715768868.3811
MEM 943.304688 1715768868.4814
MEM 943.304688 1715768868.5832
MEM 943.304688 1715768868.6836
MEM 849.714844 1715768868.7839
MEM 812.210938 1715768868.8855
MEM 812.210938 1715768868.9859
MEM 900.960938 1715768869.0862
MEM 924.460938 1715768869.1865
MEM 924.460938 1715768869.2867
MEM 924.460938 1715768869.3870
MEM 849.625000 1715768869.4873
MEM 849.625000 1715768869.5875
MEM 812.121094 1715768869.6878
MEM 866.871094 1715768869.7895
MEM 924.371094 1715768869.8898
MEM 924.371094 1715768869.9901
MEM 924.371094 1715768870.0904
MEM 849.585938 1715768870.1907
MEM 849.585938 1715768870.2911
MEM 812.082031 1715768870.3914
MEM 863.582031 1715768870.4917
MEM 905.832031 1715768870.5939
MEM 905.832031 1715768870.6942
MEM 867.972656 1715768870.7945
MEM 830.726562 1715768870.8956
MEM 830.726562 1715768870.9960
MEM 839.976562 1715768871.0963
MEM 839.976562 1715768871.1966
MEM 905.726562 1715768871.2969
MEM 905.726562 1715768871.3972
MEM 905.726562 1715768871.4976
MEM 840.285156 1715768871.5978
MEM 840.285156 1715768871.6981
MEM 840.285156 1715768871.7984
MEM 840.285156 1715768871.8987
MEM 905.785156 1715768871.9990
MEM 924.535156 1715768872.0993
MEM 924.535156 1715768872.1996
MEM 924.535156 1715768872.2999
MEM 849.406250 1715768872.4002
MEM 812.121094 1715768872.5005
MEM 812.121094 1715768872.6008
MEM 886.871094 1715768872.7011
MEM 943.996094 1715768872.8014
MEM 943.996094 1715768872.9017
MEM 847.246094 1715768873.0020
MEM 847.246094 1715768873.1024
MEM 847.246094 1715768873.2027
MEM 847.246094 1715768873.3030
MEM 868.871094 1715768873.4137
MEM 906.496094 1715768873.5140
MEM 906.496094 1715768873.6217
MEM 840.753906 1715768873.7220
MEM 840.753906 1715768873.8223
MEM 840.753906 1715768873.9227
MEM 840.753906 1715768874.0230
MEM 840.753906 1715768874.1233
MEM 962.253906 1715768874.2236
MEM 962.753906 1715768874.3239
MEM 962.753906 1715768874.4243
MEM 831.687500 1715768874.5246
MEM 831.687500 1715768874.6249
MEM 840.937500 1715768874.7252
MEM 860.562500 1715768874.8255
MEM 906.562500 1715768874.9265
MEM 906.562500 1715768875.0270
MEM 906.562500 1715768875.1273
MEM 840.843750 1715768875.2277
MEM 840.843750 1715768875.3280
MEM 840.843750 1715768875.4284
MEM 841.218750 1715768875.5287
MEM 841.718750 1715768875.6290
MEM 841.718750 1715768875.7294
MEM 841.968750 1715768875.8297
MEM 870.093750 1715768875.9300
MEM 926.343750 1715768876.0304
MEM 921.593750 1715768876.1307
MEM 851.492188 1715768876.2310
MEM 813.988281 1715768876.3313
MEM 813.988281 1715768876.4316
MEM 924.863281 1715768876.5321
MEM 944.988281 1715768876.6324
MEM 832.695312 1715768876.7327
MEM 841.945312 1715768876.8330
MEM 841.945312 1715768876.9334
MEM 868.945312 1715768877.0337
MEM 907.570312 1715768877.1347
MEM 907.570312 1715768877.2352
MEM 832.601562 1715768877.3355
MEM 841.976562 1715768877.4358
MEM 841.976562 1715768877.5361
MEM 887.351562 1715768877.6364
MEM 907.726562 1715768877.7367
MEM 832.519531 1715768877.8370
MEM 832.519531 1715768877.9373
MEM 841.894531 1715768878.0376
MEM 841.894531 1715768878.1379
MEM 940.769531 1715768878.2382
MEM 945.144531 1715768878.3507
MEM 842.144531 1715768878.4510
MEM 842.144531 1715768878.5513
MEM 842.144531 1715768878.6516
MEM 842.144531 1715768878.7548
MEM 842.144531 1715768878.8643
MEM 943.519531 1715768878.9646
MEM 945.144531 1715768879.0650
MEM 860.898438 1715768879.1653
MEM 860.898438 1715768879.2656
MEM 814.019531 1715768879.3660
MEM 848.644531 1715768879.4663
MEM 926.269531 1715768879.5667
MEM 926.269531 1715768879.6671
MEM 841.894531 1715768879.7674
MEM 841.894531 1715768879.8677
MEM 841.894531 1715768879.9680
MEM 888.894531 1715768880.0683
MEM 907.519531 1715768880.1689
MEM 832.707031 1715768880.2692
MEM 841.832031 1715768880.3711
MEM 841.832031 1715768880.4714
MEM 841.832031 1715768880.5717
MEM 841.832031 1715768880.6721
MEM 841.832031 1715768880.7724
MEM 926.332031 1715768880.8726
MEM 926.332031 1715768880.9730
MEM 847.160156 1715768881.0733
MEM 832.605469 1715768881.1737
MEM 832.605469 1715768881.2740
MEM 851.480469 1715768881.3742
MEM 814.191406 1715768881.4746
MEM 851.316406 1715768881.5749
MEM 926.316406 1715768881.6753
MEM 826.484375 1715768881.7756
MEM 836.484375 1715768881.8759
MEM 836.484375 1715768881.9762
MEM 836.484375 1715768882.0765
MEM 836.484375 1715768882.1769
MEM 836.859375 1715768882.2772
